Date,Close,High,Low,Open,Volume
02/01/1990,0.377186865,0.377186865,0.366030723,0.370812296,53035200
03/01/1990,0.379312307,0.383562031,0.376124421,0.380374765,113774400
04/01/1990,0.390468389,0.390999618,0.377186786,0.379312249,125740800
05/01/1990,0.380905956,0.390999675,0.380374763,0.388874795,69566400
08/01/1990,0.386749238,0.386749238,0.376124328,0.380374671,58982400
09/01/1990,0.385686934,0.3909997,0.383562054,0.386749356,70300800
10/01/1990,0.37506187,0.387812279,0.374530677,0.382499514,103766400
11/01/1990,0.367624342,0.380374755,0.361249775,0.377186832,95774400
12/01/1990,0.366030693,0.370812266,0.356999432,0.361780969,148910400
15/01/1990,0.366030693,0.369749808,0.362312198,0.364437042,62467200
16/01/1990,0.377186865,0.379312329,0.359124925,0.363374649,80092800
17/01/1990,0.37187463,0.384624384,0.369749751,0.373999474,97588800
18/01/1990,0.403749526,0.403749526,0.380374852,0.380906045,292363200
19/01/1990,0.400030822,0.407999658,0.397374749,0.404811773,99259200
22/01/1990,0.385686934,0.399499769,0.384624476,0.399499769,167688000
23/01/1990,0.381437093,0.387812279,0.379312213,0.386749238,139348800
24/01/1990,0.385686934,0.385686934,0.370281068,0.373999563,180345600
25/01/1990,0.385686934,0.393124544,0.384624476,0.38887482,112752000
26/01/1990,0.385686934,0.387812398,0.382499632,0.384624476,68083200
29/01/1990,0.388874829,0.392062131,0.383562062,0.388874829,55080000
30/01/1990,0.387812316,0.393124462,0.382499551,0.389937196,73108800
31/01/1990,0.393124461,0.393124461,0.387812316,0.390999618,112939200
01/02/1990,0.398437351,0.400562232,0.393124584,0.393124584,89193600
02/02/1990,0.398437351,0.405874378,0.395249465,0.395249465,71395200
05/02/1990,0.400562048,0.400562048,0.396311705,0.397905976,59731200
06/02/1990,0.399499714,0.400562136,0.392062069,0.399499714,81964800
07/02/1990,0.39631179,0.402686977,0.395249368,0.397374832,134150400
08/02/1990,0.400562048,0.403749313,0.396311705,0.397905976,95227200
09/02/1990,0.401624501,0.402686922,0.399499657,0.400562079,62380800
12/02/1990,0.402686924,0.405874225,0.399499659,0.401624502,56088000
13/02/1990,0.402686924,0.404811804,0.401624502,0.403749345,58752000
14/02/1990,0.403749526,0.404811984,0.401624681,0.404811984,35870400
15/02/1990,0.412249595,0.41649994,0.403749525,0.403749525,89496000
16/02/1990,0.416499823,0.419687125,0.415436781,0.417562245,70876800
20/02/1990,0.426062346,0.427124767,0.412249511,0.415436813,132652800
21/02/1990,0.408530891,0.424999174,0.40693724,0.419687029,103348800
22/02/1990,0.409593463,0.417562303,0.40906227,0.411187114,60811200
23/02/1990,0.414374232,0.415436654,0.405874167,0.406937209,56851200
26/02/1990,0.421811938,0.42499924,0.413311871,0.414374329,69220800
27/02/1990,0.416499823,0.422874391,0.416499823,0.422874391,62020800
28/02/1990,0.419687122,0.423936846,0.41649982,0.41649982,39312000
01/03/1990,0.424999267,0.432436876,0.418624699,0.418624699,76867200
02/03/1990,0.440936953,0.443593026,0.425531088,0.426062317,100209600
05/03/1990,0.447312117,0.44943696,0.434561706,0.439874472,75528000
06/03/1990,0.444124132,0.446249596,0.435624687,0.445187174,68630400
07/03/1990,0.436687261,0.448374632,0.436687261,0.445187329,47606400
08/03/1990,0.45156166,0.455812002,0.432436689,0.437749489,88977600
09/03/1990,0.452624172,0.458999358,0.447312028,0.450499292,75744000
12/03/1990,0.460061908,0.462186788,0.450499418,0.45156184,68875200
13/03/1990,0.45156166,0.463249024,0.45156166,0.461124145,85204800
14/03/1990,0.45846805,0.462186579,0.450499215,0.455811978,130968000
15/03/1990,0.471749276,0.474937161,0.457937063,0.458468256,81676800
16/03/1990,0.484499514,0.489811658,0.474937028,0.475999486,118900800
19/03/1990,0.495124668,0.497249512,0.480249374,0.483437297,81172800
20/03/1990,0.480249316,0.496187029,0.478124472,0.495124607,92145600
21/03/1990,0.481311738,0.490874227,0.477062015,0.479718088,69840000
22/03/1990,0.472811669,0.4834372,0.468561946,0.482374158,92419200
23/03/1990,0.468562067,0.48131186,0.4632493,0.475999714,53596800
26/03/1990,0.473874658,0.478124381,0.469093123,0.469624315,55929600
27/03/1990,0.478124529,0.480249373,0.470686882,0.472280534,52516800
28/03/1990,0.471749276,0.477062042,0.461124328,0.477062042,99532800
29/03/1990,0.46962437,0.479186859,0.467499527,0.469093178,64785600
30/03/1990,0.470686615,0.471749072,0.46431205,0.46749935,36691200
02/04/1990,0.473874658,0.477593152,0.464312171,0.46643705,74059200
03/04/1990,0.492999882,0.494062304,0.478124622,0.479187044,84643200
04/04/1990,0.497249424,0.50468707,0.490874237,0.492999701,79646400
05/04/1990,0.48662439,0.497780527,0.48662439,0.496718069,66369600
06/04/1990,0.485562027,0.489811713,0.481311683,0.48768687,72878400
09/04/1990,0.48662439,0.489811654,0.483437089,0.483437089,31176000
10/04/1990,0.501499116,0.501499116,0.486624483,0.487155676,45187200
11/04/1990,0.514249623,0.514249623,0.502562252,0.503624674,70372800
12/04/1990,0.51318711,0.518499256,0.509999225,0.517436834,48254400
16/04/1990,0.51637435,0.524874416,0.511061585,0.518499193,39470400
17/04/1990,0.526999235,0.535499301,0.50787426,0.515311904,66780000
18/04/1990,0.515311956,0.524874445,0.499374245,0.523812023,97797600
19/04/1990,0.505749345,0.520623975,0.503624465,0.509999067,58003200
20/04/1990,0.503624439,0.514249383,0.499374097,0.509999041,44661600
23/04/1990,0.501499116,0.50574946,0.486624483,0.500436695,64879200
24/04/1990,0.492999882,0.507874521,0.480249466,0.507874521,47916000
25/04/1990,0.492999882,0.499374451,0.484499811,0.495124762,53870400
26/04/1990,0.487687081,0.499374417,0.486624659,0.497249573,46296000
27/04/1990,0.478124529,0.486624598,0.472811763,0.485562176,57124800
30/04/1990,0.492999882,0.492999882,0.473874897,0.478124622,51451200
01/05/1990,0.485562027,0.499374201,0.482374105,0.499374201,52473600
02/05/1990,0.495124668,0.497249512,0.486624599,0.486624599,33264000
03/05/1990,0.501499116,0.507874303,0.49512455,0.497249393,45892800
04/05/1990,0.524874389,0.524874389,0.501499071,0.505749414,47815200
07/05/1990,0.543999434,0.560999531,0.522749576,0.5269993,97351200
08/05/1990,0.53337431,0.539748874,0.529123968,0.53337431,50824800
09/05/1990,0.53337431,0.537623995,0.526999089,0.534436731,35164800
10/05/1990,0.548249185,0.552499529,0.53337455,0.537624238,48801600
11/05/1990,0.556749225,0.560999568,0.537624246,0.552499537,49168800
14/05/1990,0.558873951,0.565249137,0.556749072,0.563124294,47232000
15/05/1990,0.550374508,0.558873953,0.546124165,0.556749073,54122400
16/05/1990,0.550374508,0.550374508,0.53974898,0.548249045,38556000
17/05/1990,0.550374508,0.55462423,0.546124165,0.550374508,41731200
18/05/1990,0.580124676,0.588624746,0.548249316,0.549311738,101822400
21/05/1990,0.5971241,0.614124199,0.584374308,0.584374308,159595200
22/05/1990,0.607749462,0.614124028,0.586499024,0.603499119,142437600
23/05/1990,0.644936383,0.645999498,0.61093681,0.611999232,141184800
24/05/1990,0.650249124,0.669374098,0.645999437,0.652373967,146649600
25/05/1990,0.631124437,0.648124576,0.628999593,0.631124437,104688000
29/05/1990,0.639624476,0.641749393,0.628999599,0.631124443,61480800
30/05/1990,0.641749024,0.650249053,0.635373766,0.647061752,65073600
31/05/1990,0.620498896,0.641748775,0.616248555,0.63537352,69436800
01/06/1990,0.638562083,0.639624469,0.620499486,0.622624403,69069600
04/06/1990,0.650249124,0.65662431,0.628999306,0.63643695,59162400
05/06/1990,0.623686612,0.658749265,0.618374466,0.656624421,80258400
06/06/1990,0.620498896,0.633248678,0.616248555,0.622623811,86292000
07/06/1990,0.611999154,0.626874442,0.603499089,0.622624099,90122400
08/06/1990,0.624749124,0.626874624,0.607749609,0.611999333,63770400
11/06/1990,0.636437058,0.641749204,0.62049931,0.62049931,58240800
12/06/1990,0.644936383,0.645999498,0.633249051,0.641749154,46656000
13/06/1990,0.650249124,0.660874069,0.638561793,0.644936323,80265600
14/06/1990,0.641749024,0.652373895,0.63112408,0.650249053,58204800
15/06/1990,0.645999432,0.654498804,0.633248987,0.633248987,51552000
18/06/1990,0.636437058,0.648124391,0.6332491,0.643874047,52790400
19/06/1990,0.637499392,0.641749152,0.626874519,0.635373892,41716800
20/06/1990,0.659811735,0.660874193,0.637499456,0.640686757,39564000
21/06/1990,0.654498816,0.660874075,0.645999443,0.658749158,34308000
22/06/1990,0.643874228,0.660874367,0.641749384,0.656624606,34034400
25/06/1990,0.633248985,0.650249116,0.631124142,0.642811472,68983200
26/06/1990,0.63537401,0.642811656,0.633249166,0.639624354,50198400
27/06/1990,0.648124456,0.6502493,0.633249164,0.635374008,35762400
28/06/1990,0.650249124,0.65662431,0.647061822,0.651311582,30052800
29/06/1990,0.645999432,0.650249118,0.639624173,0.650249118,34956000
02/07/1990,0.626874804,0.645999789,0.625811689,0.645999789,35474400
03/07/1990,0.611999154,0.624748942,0.607749432,0.623686484,79257600
05/07/1990,0.614124,0.616248843,0.601374249,0.607749434,61855200
06/07/1990,0.622624338,0.628999526,0.609874545,0.613061847,41803200
09/07/1990,0.631124437,0.635374125,0.622624404,0.624749248,37317600
10/07/1990,0.626874804,0.637499682,0.624749304,0.631124493,29700000
11/07/1990,0.641749024,0.643873867,0.622624052,0.628999238,28922400
12/07/1990,0.658749223,0.660874139,0.639624246,0.639624246,89042400
13/07/1990,0.666186929,0.684249521,0.658749283,0.6608742,93628800
