Date,Close,High,Low,Open,Volume
26/10/2004,4.518386364,4.787798955,4.473650015,4.631221261,891391716
27/10/2004,4.622025967,4.710256497,4.517640984,4.541252284,533725740
28/10/2004,4.80420208,4.831293177,4.612830183,4.639671708,593278128
29/10/2004,4.738091946,4.969479158,4.73709792,4.943133935,845653500
01/11/2004,4.872053146,4.912813396,4.753750394,4.81041647,488507004
02/11/2004,4.843222618,4.952080935,4.805195824,4.940399362,453398148
03/11/2004,4.763690472,5.010486217,4.740825052,4.925486413,554992452
04/11/2004,4.590460777,4.732126663,4.556908281,4.683413742,575807616
05/11/2004,4.208958626,4.530812577,4.189075751,4.522859427,792530676
08/11/2004,4.288489819,4.360316315,4.210200974,4.248227295,447224328
09/11/2004,4.192804337,4.35435217,4.107556359,4.327013393,442125432
10/11/2004,4.171926975,4.287743945,4.13390018,4.241764947,425334240
11/11/2004,4.548707008,4.566849982,4.164718218,4.20348994,598820580
12/11/2004,4.523357391,4.717215552,4.409029788,4.603633823,669174156
15/11/2004,4.594686508,4.680431734,4.442582629,4.484834154,475583940
16/11/2004,4.288241386,4.460476265,4.245741244,4.411515195,835859304
17/11/2004,4.287247181,4.411515497,4.200259313,4.200757036,724590684
18/11/2004,4.163973331,4.334965551,4.118987418,4.232320494,664518816
19/11/2004,4.210200787,4.224616284,4.138622445,4.202744887,350421228
22/11/2004,4.103330612,4.212686651,4.009135471,4.087672938,494233272
23/11/2004,4.163476944,4.24574238,4.138126689,4.174660796,496035468
24/11/2004,4.343415737,4.404307952,4.287495543,4.344907485,610628760
26/11/2004,4.458488464,4.474394763,4.357333724,4.369263448,258944796
29/11/2004,4.499745846,4.546967496,4.411763946,4.482597369,426237336
30/11/2004,4.522859573,4.548210773,4.479863121,4.491295597,307692000
01/12/2004,4.472655296,4.535783241,4.462464998,4.522113144,314249436
02/12/2004,4.458737373,4.511178727,4.437611846,4.471164349,250185564
03/12/2004,4.48359108,4.499994154,4.414000312,4.472406283,234533232
06/12/2004,4.381443024,4.491046749,4.37473205,4.452026874,249909840
07/12/2004,4.260654449,4.379205835,4.238783048,4.374235234,274561164
08/12/2004,4.224616528,4.31657405,4.193548856,4.233811854,301370328
09/12/2004,4.310360909,4.312101282,4.187087561,4.231327134,305853840
10/12/2004,4.266122341,4.346398767,4.257175166,4.310360968,172515312
13/12/2004,4.236298084,4.304148487,4.21144366,4.279046386,192551256
14/12/2004,4.441092014,4.444322715,4.215172151,4.249967303,443092464
15/12/2004,4.46818161,4.490798409,4.390638165,4.423693413,458381160
16/12/2004,4.385916233,4.485828337,4.372992482,4.397845959,342569088
17/12/2004,4.475637913,4.486075889,4.387904171,4.393122922,295152552
20/12/2004,4.598414421,4.683911022,4.52012557,4.523357218,392986620
21/12/2004,4.566850185,4.669496204,4.558152109,4.630475383,220431348
22/12/2004,4.630226612,4.643896709,4.548458916,4.570577991,156123720
23/12/2004,4.669992447,4.687390494,4.622771272,4.658808597,144439416
27/12/2004,4.769656658,4.804202236,4.69981726,4.701059437,243919836
28/12/2004,4.790781498,4.810416221,4.747287326,4.774627047,165666168
29/12/2004,4.794260979,4.809670978,4.766424951,4.766424951,107016876
30/12/2004,4.911072731,4.926730879,4.768164663,4.796000686,235935828
31/12/2004,4.791526794,4.967738243,4.785810321,4.951583794,306433260
03/01/2005,5.03807497,5.061188545,4.857885507,4.906102127,633134232
04/01/2005,4.83402586,5.04354214,4.808676084,5.005516292,549685764
05/01/2005,4.809422016,4.893674538,4.777609419,4.807930268,329134536
06/01/2005,4.68614769,4.868821518,4.665519887,4.84844234,415068516
07/01/2005,4.817871094,4.827812766,4.691863363,4.738091455,386129484
10/01/2005,4.847944736,4.923499665,4.767668306,4.834026487,301282416
11/01/2005,4.810165882,4.913806383,4.801218709,4.861861347,278069652
12/01/2005,4.855897903,4.869567529,4.734612597,4.829801777,326784888
13/01/2005,4.854654789,4.905853959,4.822842191,4.855897439,273702024
14/01/2005,4.969975471,4.97096997,4.824830728,4.871306976,385226388
18/01/2005,5.067651272,5.095487298,4.937417372,4.994829796,526377096
19/01/2005,4.903616428,5.102446119,4.888953726,5.086290248,449857692
20/01/2005,4.819611073,4.87751979,4.771892179,4.784318678,359703936
21/01/2005,4.67943716,4.85540047,4.675460586,4.835020347,369965664
24/01/2005,4.491544247,4.705533408,4.481603047,4.68962711,560347092
25/01/2005,4.402070522,4.529321859,4.381442722,4.521865012,425941632
26/01/2005,4.703296661,4.707521861,4.452523358,4.455505908,491823684
27/01/2005,4.67446661,4.69385176,4.602888266,4.691366934,264830904
28/01/2005,4.730635166,4.838996702,4.631220805,4.722682017,487839672
31/01/2005,4.861862183,4.880254729,4.764934058,4.813895133,383484132
01/02/2005,4.769407749,4.887710991,4.737844717,4.831044907,752806440
02/02/2005,5.118849277,5.388262372,5.061686896,5.357195644,1310660028
03/02/2005,5.24063158,5.3030146,5.115120614,5.119594439,519004476
04/02/2005,5.079082966,5.163336912,5.035340642,5.131524313,592179228
07/02/2005,4.872053146,5.12978465,4.859129396,5.101452322,517897584
08/02/2005,4.93692112,4.971219495,4.834772343,4.895166844,458740800
09/02/2005,4.761454105,5.010487539,4.708764603,4.989610638,686173140
10/02/2005,4.671980858,4.777111699,4.604130937,4.7711466,758548692
11/02/2005,4.657566547,4.77984587,4.624510351,4.639174474,524115360
14/02/2005,4.796497822,4.798734497,4.498503343,4.54448234,1540945512
15/02/2005,4.852169991,4.966744786,4.798734618,4.811658368,1030280688
16/02/2005,4.931203842,4.95406879,4.829055082,4.838996755,660630708
17/02/2005,4.918528557,4.964508028,4.891438408,4.916789605,416159424
18/02/2005,4.919771671,4.94189122,4.887709975,4.93368992,339096564
22/02/2005,4.756234169,4.943381306,4.731877948,4.883732693,538808652
23/02/2005,4.820356846,4.833529219,4.688880794,4.80420145,622816560
24/02/2005,4.694597721,4.71845717,4.529072383,4.557406129,1031539428
25/02/2005,4.619539738,4.720197234,4.610592563,4.701059286,398541060
28/02/2005,4.67222929,4.718955111,4.619043015,4.622771438,312423264
01/03/2005,4.624261856,4.715971223,4.52335669,4.704539222,372075552
02/03/2005,4.602390289,4.664275581,4.582011115,4.621527287,291128580
03/03/2005,4.647873402,4.666264527,4.580767932,4.626002003,304039656
04/03/2005,4.620285511,4.653838009,4.599656763,4.640168385,270693036
07/03/2005,4.692609787,4.712244037,4.648369741,4.667010438,346349304
08/03/2005,4.602888584,4.718457409,4.59717211,4.699817184,321522156
09/03/2005,4.507201672,4.589218944,4.477626695,4.578283245,453961584
10/03/2005,4.473152161,4.503473957,4.409029242,4.498751508,437981580
11/03/2005,4.418971062,4.497259909,4.402816611,4.484585257,320810868
14/03/2005,4.349133492,4.433884231,4.288988554,4.432144804,445418136
15/03/2005,4.43910265,4.473649644,4.329747087,4.356837235,416467116
16/03/2005,4.364292622,4.43910261,4.349629921,4.391632341,283967748
17/03/2005,4.456003666,4.464701743,4.36926394,4.402320138,330093576
18/03/2005,4.474643707,4.483590882,4.431646314,4.444073287,283316400
21/03/2005,4.495521069,4.527581819,4.405302495,4.455506221,299048652
22/03/2005,4.438854218,4.521865519,4.420214939,4.502976669,225042732
23/03/2005,4.448298454,4.479614275,4.423196357,4.423196357,193606200
24/03/2005,4.45500946,4.495023361,4.453766337,4.491046786,148059792
28/03/2005,4.508941174,4.592946963,4.497259601,4.515403522,349170480
29/03/2005,4.462963104,4.555170213,4.425682177,4.499746308,258661080
30/03/2005,4.484834194,4.50968767,4.463707721,4.489556644,249194556
31/03/2005,4.486324787,4.508195713,4.414994589,4.422699588,270473256
01/04/2005,4.474643707,4.546966976,4.47340011,4.517392002,247032720
04/04/2005,4.60512495,4.605870825,4.46967326,4.472406238,322732944
05/04/2005,4.686644554,4.728646977,4.66179108,4.665767655,349118532
06/04/2005,4.702799797,4.713486872,4.662039548,4.703297047,209893896
07/04/2005,4.815635204,4.837008881,4.688384803,4.691864129,387300312
08/04/2005,4.773136139,4.848939225,4.758223862,4.81389592,204459336
11/04/2005,4.802463055,4.841482929,4.779845782,4.798982782,216203580
12/04/2005,4.820605755,4.832037756,4.707521767,4.796746307,292491216
13/04/2005,4.795006275,4.829553273,4.715475251,4.808427748,261969768
14/04/2005,4.758223057,4.830547279,4.724670558,4.803457129,245861892
15/04/2005,4.597917557,4.730635319,4.589466685,4.72467022,462632904
18/04/2005,4.646878242,4.669495512,4.560388108,4.587478253,261749988
19/04/2005,4.756980896,4.771892697,4.673223252,4.705533574,336862800
20/04/2005,4.923499107,4.983148675,4.869070659,4.935428831,617441940
21/04/2005,5.075603962,5.094989113,4.953820946,4.981160193,709365924
22/04/2005,5.363656998,5.567208174,5.325133902,5.539868455,1326875796
25/04/2005,5.55552721,5.585599911,5.406156313,5.41361316,792806400
26/04/2005,5.43672657,5.517501191,5.425294095,5.473261618,690189120
27/04/2005,5.462325573,5.488918945,5.386770655,5.417837378,410181408
28/04/2005,5.454124451,5.519489546,5.410878431,5.455366627,346964688
29/04/2005,5.467794418,5.52371462,5.41361317,5.515263747,366441192
02/05/2005,5.524708271,5.559751569,5.473012799,5.518743646,390305304
03/05/2005,5.621636868,5.67034979,5.500600673,5.513773047,710496792
04/05/2005,5.679049015,5.713347388,5.641769514,5.647485041,482856660
05/05/2005,5.641271591,5.682031364,5.613933291,5.682031364,300083616
06/05/2005,5.667118549,5.697688968,5.628595456,5.676563446,270285444
09/05/2005,5.617411613,5.679048279,5.602747492,5.666622254,221250528
10/05/2005,5.661652088,5.661652088,5.585102671,5.60374242,253578168
11/05/2005,5.748390675,5.765539624,5.664883076,5.690730576,458692848
12/05/2005,5.684517384,5.77175388,5.671593634,5.736461009,357570072
13/05/2005,5.697440624,5.74341962,5.649722203,5.69594935,296323380
16/05/2005,5.742425442,5.75659184,5.680788775,5.708376171,227028744
17/05/2005,5.794121742,5.802074892,5.721300742,5.730248391,312043644
18/05/2005,5.9439888,5.964120299,5.803814652,5.806051328,491987520
19/05/2005,5.944485188,5.993943983,5.921868863,5.973316183,388271340
20/05/2005,6.004880428,6.006372177,5.956167501,5.994938754,326213460
23/05/2005,6.348854542,6.414716416,6.032219348,6.043403198,854676468
24/05/2005,6.362523556,6.597142437,6.300390102,6.386383007,1160562276
25/05/2005,6.482069492,6.486294692,6.2290595,6.281252697,721593684
26/05/2005,6.442055225,6.555388804,6.419687522,6.4857985,541322136
27/05/2005,6.611059666,6.612301842,6.443297661,6.473369884,486876636
31/05/2005,6.891160488,6.919244664,6.694816568,6.696307369,888582528
01/06/2005,7.157838345,7.279372728,7.009214287,7.03854111,1406260332
02/06/2005,7.155354023,7.202078421,7.07333628,7.17598135,718245036
03/06/2005,6.965471745,7.190147959,6.894638333,7.127765419,750540708
06/06/2005,7.230907917,7.300746358,7.004491797,7.018409571,900134964
07/06/2005,7.285088062,7.445891411,7.215001472,7.38400612,971947080
08/06/2005,6.948074341,7.286829067,6.909302619,7.278379142,1027007964
09/06/2005,7.115836143,7.170265538,6.972927609,7.076318549,656986356
10/06/2005,7.021143913,7.139943423,6.959506773,7.132736149,507356136
13/06/2005,7.027357578,7.06314675,6.872519317,6.954536584,511615872
14/06/2005,6.918001652,6.989828148,6.903089852,6.923966751,403272324
15/06/2005,6.829771042,6.891904489,6.646599508,6.834742115,834488676
16/06/2005,6.895384789,6.916758463,6.786774622,6.816349597,497997504
17/06/2005,6.966466904,6.966466904,6.857110381,6.934157054,416958624
20/06/2005,7.125529766,7.149637367,6.753470675,6.861832697,840147012
21/06/2005,7.153862476,7.215002374,7.08253228,7.159578951,604686708
